Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type
5753,HTISEC B2110,Debt Securities,,"20,000",,XS1505896149,25/10/2021,,,,,,,,,"HKD 2,000,000",Professional
5755,CH AGRI-P N2409,Debt Securities,,"12,500",,XS1073451913,30/09/2024,,,,,,,,,"HKD 1,250,000",Professional
5756,IFC DEV N2006A,Debt Securities,,"20,000",,XS1074272953,04/06/2020,,,,,,,,,"HKD 2,000,000",Professional
5757,IFC DEV N2006B,Debt Securities,,"20,000",,XS1072989590,04/06/2020,,,,,,,,,"HKD 2,000,000",Professional
5758,HKMC FRN N2402,Debt Securities,,"10,000",,HK0000479466,02/02/2024,,,,,,,,,"HKD 1,000,000",Professional
5760,CHINA OVS N3406,Debt Securities,,"2,000",,XS1075180379,11/06/2034,,,,,,,,,"USD 200,000",Professional
5761,AIR AUTH N2902,Debt Securities,,"2,000",,XS1934321404,21/02/2029,,,,,,,,,"USD 200,000",Professional
5762,ZHENROPPT N2108,Debt Securities,,"2,000",,XS1951935847,20/08/2021,,,,,,,,,"USD 200,000",Professional
5763,GHKF N2406,Debt Securities,,"2,000",,XS1078750004,19/06/2024,,,,,,,,,"USD 200,000",Professional
5764,TIMES CHN N2202,Debt Securities,,"2,000",,XS1945401674,21/02/2022,,,,,,,,,"USD 200,000",Professional
5765,CIFI HLDG N2302,Debt Securities,,"2,000",,XS1952116983,28/02/2023,,,,,,,,,"USD 200,000",Professional
5766,20191WST N5008,Debt Securities,,"1,000",,AU3FN0046629,18/08/2050,,,,,,,,,"AUD 100,000",Professional
5769,GRNL GLB B2407,Debt Securities,,"2,000",,XS1081321595,03/07/2024,,,,,,,,,"USD 200,000",Professional
5770,JX RAIL B2202,Debt Securities,,"2,000",,XS1917106061,21/02/2022,,,,,,,,,"USD 200,000",Professional
5772,HKSTP N2407,Debt Securities,,"15,000",,HK0000206018,11/07/2024,,,,,,,,,"HKD 1,500,000",Professional
5773,CINDA FIN N2202,Debt Securities,,"2,000",,XS1948625121,21/02/2022,,,,,,,,,"USD 200,000",Professional
5775,CINDA FIN N2402,Debt Securities,,"2,000",,XS1948752743,21/02/2024,,,,,,,,,"USD 200,000",Professional
